"","year","id","scans.feed","scans.obs.x","propfeed","scans.perch","scans.obs.y","propperch","avemass","hf","bc","survival_age","survived"
"110","2015","123",4,29,0.137931034482759,15,29,0.517241379310345,185.322580645161,38.8666666666667,0.466853805247292,3,1
"111","2015","131",10,71,0.140845070422535,35,71,0.492957746478873,191.35593220339,41.8,0.216794675793599,3,1
"112","2015","132",7,51,0.137254901960784,27,51,0.529411764705882,182.727272727273,42.2166666666667,0.1321980668721,3,1
"113","2015","136",15,46,0.326086956521739,17,46,0.369565217391304,180.714285714286,41.5571428571429,0.182168363397037,3,1
"114","2015","145",2,31,0.0645161290322581,16,31,0.516129032258065,190,41.48,0.239478990704587,1,1
"115","2015","151",21,67,0.313432835820896,24,67,0.358208955223881,186.521739130435,40.175,0.344940389752904,3,1
"116","2015","154",1,20,0.05,11,20,0.55,220.606060606061,41.4,0.396318277869199,3,1
"117","2015","158",3,13,0.230769230769231,6,13,0.461538461538462,206.111111111111,40.8,0.384956314653653,3,1
"118","2015","159",3,15,0.2,4,15,0.266666666666667,198.414634146341,42.5,0.188628317752693,2,1
"119","2015","160",3,18,0.166666666666667,8,18,0.444444444444444,213.6,41.6666666666667,0.339151527874998,2,1
"120","2015","163",7,43,0.162790697674419,19,43,0.441860465116279,192.352941176471,41.05,0.292188495391028,3,1
"121","2015","193",2,16,0.125,8,16,0.5,207.4,40.7,0.40070460924636,3,1
"122","2015","195",2,15,0.133333333333333,7,15,0.466666666666667,223.333333333333,41.6333333333333,0.386814777547933,2,1
"123","2015","206",2,14,0.142857142857143,4,14,0.285714285714286,237.058823529412,41.7,0.440254279985554,2,1
"124","2015","208",1,26,0.0384615384615385,10,26,0.384615384615385,220.769230769231,42.325,0.311384864524324,2,1
"125","2015","209",9,56,0.160714285714286,25,56,0.446428571428571,198.571428571429,42.66,0.174849452052185,3,1
"126","2015","211",5,33,0.151515151515152,17,33,0.515151515151515,216.451612903226,42.1333333333333,0.309231134480324,2,1
"127","2015","212",1,26,0.0384615384615385,9,26,0.346153846153846,212.692307692308,42.9,0.221796080717834,3,1
"128","2015","217",4,24,0.166666666666667,10,24,0.416666666666667,213.333333333333,41.8,0.32551535024122,1,1
"129","2015","219",3,31,0.0967741935483871,14,31,0.451612903225806,194.032258064516,40.5333333333333,0.349989134458505,2,1
"130","2015","220",2,29,0.0689655172413793,20,29,0.689655172413793,223,43.1666666666667,0.245095721487205,1,1
"131","2015","223",1,4,0.25,2,4,0.5,232.083333333333,42.9,0.309046026796319,3,1
"132","2015","292",1,4,0.25,1,4,0.25,147.916666666667,40.7583333333333,0.0571514638756477,2,1
"133","2015","310",9,24,0.375,5,24,0.208333333333333,144.583333333333,41.9833333333333,-0.0804522008348338,2,1
"134","2015","311",8,18,0.444444444444444,2,18,0.111111111111111,152.916666666667,42.175,-0.042075057599959,2,1
"135","2015","328",2,8,0.25,3,8,0.375,151.666666666667,41.5,0.0122711094660362,2,1
"136","2015","382",3,23,0.130434782608696,14,23,0.608695652173913,220,42.1,0.328560206861015,3,1
"137","2016","17",1,5,0.2,2,5,0.4,214.333333333333,41.1,0.395669455303325,4,1
"138","2016","26",4,6,0.666666666666667,1,6,0.166666666666667,225,44.5,0.136080211736516,3,0
"139","2016","37",3,23,0.130434782608696,7,23,0.304347826086957,229.642857142857,43.4,0.253548318977878,3,1
"140","2016","44",2,6,0.333333333333333,1,6,0.166666666666667,225.416666666667,42.1,0.352883202001235,4,1
"141","2016","46",2,30,0.0666666666666667,11,30,0.366666666666667,226,42.2,0.346269281494571,4,1
"142","2016","49",1,4,0.25,1,4,0.25,219.2,40.7,0.456039868524794,4,1
"143","2016","55",1,4,0.25,2,4,0.5,259,43.95,0.325025859488172,3,1
"144","2016","56",2,9,0.222222222222222,2,9,0.222222222222222,250,42.7,0.401527833132808,3,1
"145","2016","66",1,16,0.0625,7,16,0.4375,249,43.7,0.307767780066621,4,1
"146","2016","72",5,13,0.384615384615385,4,13,0.307692307692308,228.571428571429,42.4,0.33925149599548,3,1
"147","2016","76",1,15,0.0666666666666667,6,15,0.4,283.75,44,0.411883049305322,3,1
"148","2016","79",5,21,0.238095238095238,5,21,0.238095238095238,218.75,41,0.425511408665751,4,1
"149","2016","111",3,21,0.142857142857143,8,21,0.380952380952381,236.333333333333,42.7,0.34531015313458,3,1
"150","2016","123",3,17,0.176470588235294,2,17,0.117647058823529,207.647058823529,38.4,0.627429330949033,3,1
"151","2016","132",1,26,0.0384615384615385,16,26,0.615384615384615,214.791666666667,42.55,0.263379300600351,3,1
"152","2016","154",3,18,0.166666666666667,11,18,0.611111111111111,238.75,41.7,0.447362948461882,3,1
"153","2016","158",3,11,0.272727272727273,5,11,0.454545454545455,220,41.2,0.412342654695738,3,1
"154","2016","160",2,15,0.133333333333333,1,15,0.0666666666666667,225.384615384615,42.4,0.325211081372498,2,1
"155","2016","163",2,10,0.2,4,10,0.4,204.722222222222,40.8,0.378194963675609,3,1
"156","2016","193",2,12,0.166666666666667,6,12,0.5,211.75,40.8,0.4119472504805,3,1
"157","2016","206",1,30,0.0333333333333333,12,30,0.4,255.333333333333,42.2,0.468304163294766,2,1
"158","2016","209",2,8,0.25,3,8,0.375,200.625,42.9,0.163387018107215,3,1
"159","2016","211",4,23,0.173913043478261,10,23,0.434782608695652,219.166666666667,42.5,0.288101840187672,2,1
"160","2016","212",1,15,0.0666666666666667,5,15,0.333333333333333,247.428571428571,43,0.364044418002253,3,1
"161","2016","219",3,17,0.176470588235294,6,17,0.352941176470588,217.368421052632,39.6,0.553877983887283,2,1
"162","2016","223",5,21,0.238095238095238,6,21,0.285714285714286,254.583333333333,43.5,0.347728066096973,3,1
"163","2016","241",3,6,0.5,3,6,0.5,240,42.4,0.388041660164912,1,1
"164","2016","264",5,22,0.227272727272727,11,22,0.5,195,42.3,0.189557233829569,2,1
"165","2016","265",4,13,0.307692307692308,6,13,0.461538461538462,209.285714285714,39.2,0.555346557417939,2,1
"166","2016","276",7,28,0.25,9,28,0.321428571428571,188.25,41.1,0.265907886413818,1,1
"167","2016","284",3,8,0.375,1,8,0.125,195.576923076923,36.95,0.716780463719117,2,1
"168","2016","286",7,23,0.304347826086957,7,23,0.304347826086957,241.25,43.1,0.329750140634048,2,1
"169","2016","287",6,30,0.2,10,30,0.333333333333333,223.461538461538,43.6,0.208436477957575,2,1
"170","2016","290",3,22,0.136363636363636,5,22,0.227272727272727,239.25,41.5,0.468095009516259,2,1
"171","2016","292",4,23,0.173913043478261,9,23,0.391304347826087,214.130434782609,41.8,0.329244800232651,2,1
"172","2016","293",3,11,0.272727272727273,6,11,0.545454545454545,198.75,42.2,0.217782035756726,2,1
"173","2016","296",4,15,0.266666666666667,4,15,0.266666666666667,200.833333333333,41.6,0.283730148898895,2,1
"174","2016","340",2,17,0.117647058823529,8,17,0.470588235294118,201.875,42.4,0.215051430799842,2,1
"175","2016","351",9,32,0.28125,9,32,0.28125,176.724137931034,40.6,0.250183089646697,2,1
"176","2016","362",2,9,0.222222222222222,5,9,0.555555555555556,216.818181818182,40.9,0.426108942049412,3,1
"177","2016","411",3,13,0.230769230769231,8,13,0.615384615384615,220,42,0.33778046002716,1,1
"178","2016","412",1,23,0.0434782608695652,11,23,0.478260869565217,236,43.3,0.289798568615805,2,1
"179","2016","434",1,17,0.0588235294117647,8,17,0.470588235294118,213.125,32.1,1.34825285682599,1,1
"180","2016","450",4,15,0.266666666666667,5,15,0.333333333333333,211.428571428571,42.8,0.224884854851738,1,1
